"time","activity","lag"
"0013-10-14 19:54:00",21.2,0
"0013-10-14 19:59:00",10.8,1
"0013-10-14 20:04:00",23.6,2
"0013-10-14 20:09:00",9.6,3
"0013-10-14 20:14:00",1.6,4
"0013-10-14 20:19:00",1.6,5
"0013-10-14 20:24:00",2,6
"0013-10-14 20:29:00",1.2,7
"0013-10-14 20:34:00",0.8,8
"0013-10-14 20:39:00",0.4,9
"0013-10-14 20:44:00",1.2,10
"0013-10-14 20:49:00",0.4,11
"0013-10-14 20:54:00",2.8,12
"0013-10-14 20:59:00",7.6,13
"0013-10-14 21:04:00",0.8,14
"0013-10-14 21:09:00",1.6,15
"0013-10-14 21:14:00",0.4,16
"0013-10-14 21:19:00",0,17
"0013-10-14 21:24:00",0.4,18
"0013-10-14 21:29:00",0,19
"0013-10-14 21:34:00",1.6,20
"0013-10-14 21:39:00",3.2,21
"0013-10-14 21:44:00",0.4,22
"0013-10-14 21:49:00",0,23
"0013-10-14 21:54:00",0,24
"0013-10-14 21:59:00",0.8,25
"0013-10-14 22:04:00",3.6,26
"0013-10-14 22:09:00",0,27
"0013-10-14 22:14:00",2.4,28
"0013-10-14 22:19:00",1.2,29
"0013-10-14 22:24:00",8.4,30
"0013-10-14 22:29:00",0,31
"0013-10-14 22:34:00",0.4,32
"0013-10-14 22:39:00",0,33
"0013-10-14 22:44:00",0,34
"0013-10-14 22:49:00",0.4,35
"0013-10-14 22:54:00",1.2,36
"0013-10-14 22:59:00",4,37
"0013-10-14 23:04:00",0,38
"0013-10-14 23:09:00",0.8,39
"0013-10-14 23:14:00",3.6,40
"0013-10-14 23:19:00",2,41
"0013-10-14 23:24:00",2,42
"0013-10-14 23:29:00",0.4,43
"0013-10-14 23:34:00",0.8,44
"0013-10-14 23:39:00",1.2,45
"0013-10-14 23:44:00",0.8,46
"0013-10-14 23:49:00",3.6,47
"0013-10-14 23:54:00",1.6,48
"0013-10-14 23:59:00",2.8,49
"0013-10-15 00:04:00",1.2,50
"0013-10-15 00:09:00",3.6,51
"0013-10-15 00:14:00",2,52
"0013-10-15 00:19:00",0,53
"0013-10-15 00:24:00",0,54
"0013-10-15 00:29:00",1.2,55
"0013-10-15 00:34:00",1.2,56
"0013-10-15 00:39:00",0.8,57
"0013-10-15 00:44:00",0,58
"0013-10-15 00:49:00",0.8,59
"0013-10-15 00:54:00",1.6,60
"0013-10-15 00:59:00",0.4,61
"0013-10-15 01:04:00",1.2,62
"0013-10-15 01:09:00",0.4,63
"0013-10-15 01:14:00",0.4,64
"0013-10-15 01:19:00",2,65
"0013-10-15 01:24:00",0,66
"0013-10-15 01:29:00",0,67
"0013-10-15 01:34:00",0.4,68
"0013-10-15 01:39:00",0.8,69
"0013-10-15 01:44:00",0.8,70
"0013-10-15 01:49:00",0.4,71
"0013-10-15 01:54:00",2,72
"0013-10-15 01:59:00",0,73
"0013-10-15 02:04:00",0,74
"0013-10-15 02:09:00",0,75
"0013-10-15 02:14:00",1.6,76
"0013-10-15 02:19:00",2,77
"0013-10-15 02:24:00",0,78
"0013-10-15 02:29:00",2.8,79
"0013-10-15 02:34:00",0,80
"0013-10-15 02:39:00",2,81
"0013-10-15 02:44:00",1.6,82
"0013-10-15 02:49:00",4.4,83
"0013-10-15 02:54:00",0.4,84
"0013-10-15 02:59:00",0,85
"0013-10-15 03:04:00",3.6,86
"0013-10-15 03:09:00",0,87
"0013-10-15 03:14:00",1.6,88
"0013-10-15 03:19:00",0.8,89
"0013-10-15 03:24:00",0.8,90
"0013-10-15 03:29:00",0,91
"0013-10-15 03:34:00",0.4,92
"0013-10-15 03:39:00",0.8,93
"0013-10-15 03:44:00",0.8,94
"0013-10-15 03:49:00",0.4,95
"0013-10-15 03:54:00",2,96
"0013-10-15 03:59:00",5.6,97
"0013-10-15 04:04:00",1.2,98
"0013-10-15 04:09:00",2,99
"0013-10-15 04:14:00",0.4,100
"0013-10-15 04:19:00",4,101
"0013-10-15 04:24:00",4.4,102
"0013-10-15 04:29:00",2,103
"0013-10-15 04:34:00",1.2,104
"0013-10-15 04:39:00",3.2,105
"0013-10-15 04:44:00",3.2,106
"0013-10-15 04:49:00",0.8,107
"0013-10-15 04:54:00",2,108
"0013-10-15 04:59:00",0,109
"0013-10-15 05:04:00",0,110
"0013-10-15 05:09:00",0.8,111
"0013-10-15 05:14:00",0,112
"0013-10-15 05:19:00",1.2,113
"0013-10-15 05:24:00",0.4,114
"0013-10-15 05:29:00",0,115
"0013-10-15 05:34:00",0.4,116
"0013-10-15 05:39:00",3.2,117
"0013-10-15 05:44:00",0.4,118
"0013-10-15 05:49:00",2.4,119
"0013-10-15 05:54:00",0,120
"0013-10-15 05:59:00",2,121
"0013-10-15 06:04:00",5.6,122
"0013-10-15 06:09:00",0.8,123
"0013-10-15 06:14:00",3.2,124
"0013-10-15 06:19:00",1.2,125
"0013-10-15 06:24:00",0,126
"0013-10-15 06:29:00",0.4,127
"0013-10-15 06:34:00",1.2,128
"0013-10-15 06:39:00",1.2,129
"0013-10-15 06:44:00",0,130
"0013-10-15 06:49:00",0.4,131
"0013-10-15 06:54:00",1.2,132
"0013-10-15 06:59:00",1.6,133
"0013-10-15 07:04:00",0.4,134
"0013-10-15 07:09:00",0,135
"0013-10-15 07:14:00",0.4,136
"0013-10-15 07:19:00",0,137
"0013-10-15 07:24:00",2.8,138
"0013-10-15 07:29:00",22.4,139
"0013-10-15 07:34:00",28.2,140
"0013-10-15 07:39:00",33.8,141
"0013-10-15 07:44:00",17.2,142
"0013-10-15 07:49:00",11.6,143
"0013-10-15 07:54:00",4,144
"0013-10-15 07:59:00",18.2,145
"0013-10-15 08:04:00",33.4,146
"0013-10-15 08:09:00",34.2,147
"0013-10-15 08:14:00",35.4,148
"0013-10-15 08:19:00",32.2,149
"0013-10-15 08:24:00",28.4,150
"0013-10-15 08:29:00",18,151
"0013-10-15 08:34:00",26.4,152
"0013-10-15 08:39:00",18,153
"0013-10-15 08:44:00",24,154
"0013-10-15 08:49:00",24.2,155
"0013-10-15 08:54:00",20.6,156
"0013-10-15 08:59:00",42,157
"0013-10-15 09:04:00",37.4,158
"0013-10-15 09:09:00",17,159
"0013-10-15 09:14:00",18.2,160
"0013-10-15 09:19:00",29.8,161
"0013-10-15 09:24:00",32,162
"0013-10-15 09:29:00",13.2,163
"0013-10-15 09:34:00",1.2,164
"0013-10-15 09:39:00",19.6,165
"0013-10-15 09:44:00",28.4,166
"0013-10-15 09:49:00",17.6,167
"0013-10-15 09:54:00",21.4,168
"0013-10-15 09:59:00",33,169
"0013-10-15 10:04:00",0.8,170
"0013-10-15 10:09:00",17.6,171
"0013-10-15 10:14:00",16,172
"0013-10-15 10:19:00",20,173
"0013-10-15 10:24:00",5.6,174
"0013-10-15 10:29:00",8,175
"0013-10-15 10:34:00",13,176
