"time","activity"
"0013-10-17 17:39:00",144.8
"0013-10-17 17:44:00",157.2
"0013-10-17 17:49:00",162.8
"0013-10-17 17:54:00",175
"0013-10-17 17:59:00",165.2
"0013-10-17 18:04:00",159
"0013-10-17 18:09:00",89.6
"0013-10-17 18:14:00",144.4
"0013-10-17 18:19:00",79.6
"0013-10-17 18:24:00",98.6
"0013-10-17 18:29:00",99.2
"0013-10-17 18:34:00",152.4
"0013-10-17 18:39:00",140
"0013-10-17 18:44:00",141.8
"0013-10-17 18:49:00",129
"0013-10-17 18:54:00",160
"0013-10-17 18:59:00",196
"0013-10-17 19:04:00",176.6
"0013-10-17 19:09:00",179.4
"0013-10-17 19:14:00",73.2
"0013-10-17 19:19:00",99.8
"0013-10-17 19:24:00",107.6
"0013-10-17 19:29:00",97.6
"0013-10-17 19:34:00",73.2
"0013-10-17 19:39:00",58.8
"0013-10-17 19:44:00",128.4
"0013-10-17 19:49:00",81.6
"0013-10-17 19:54:00",135
"0013-10-17 19:59:00",108.6
"0013-10-17 20:04:00",94.8
"0013-10-17 20:09:00",69.6
"0013-10-17 20:14:00",79.2
"0013-10-17 20:19:00",92.4
"0013-10-17 20:24:00",25.4
"0013-10-17 20:29:00",64.6
"0013-10-17 20:34:00",108.2
"0013-10-17 20:39:00",70.2
"0013-10-17 20:44:00",135.2
"0013-10-17 20:49:00",146.2
"0013-10-17 20:54:00",116
"0013-10-17 20:59:00",149.6
"0013-10-17 21:04:00",140.4
"0013-10-17 21:09:00",174.8
"0013-10-17 21:14:00",132.8
"0013-10-17 21:19:00",106
"0013-10-17 21:24:00",128
"0013-10-17 21:29:00",77.6
"0013-10-17 21:34:00",103.8
"0013-10-17 21:39:00",76.6
"0013-10-17 21:44:00",101.2
"0013-10-17 21:49:00",143.4
"0013-10-17 21:54:00",154.6
"0013-10-17 21:59:00",134.8
"0013-10-17 22:04:00",146.8
"0013-10-17 22:09:00",115.6
"0013-10-17 22:14:00",111
"0013-10-17 22:19:00",105.6
"0013-10-17 22:24:00",141.2
"0013-10-17 22:29:00",157.6
"0013-10-17 22:34:00",123
"0013-10-17 22:39:00",112.8
"0013-10-17 22:44:00",145.2
"0013-10-17 22:49:00",161
"0013-10-17 22:54:00",144.8
"0013-10-17 22:59:00",144.4
"0013-10-17 23:04:00",129.6
"0013-10-17 23:09:00",126.4
"0013-10-17 23:14:00",169
"0013-10-17 23:19:00",183.2
"0013-10-17 23:24:00",157.6
"0013-10-17 23:29:00",162.6
"0013-10-17 23:34:00",173
"0013-10-17 23:39:00",150.4
"0013-10-17 23:44:00",140
"0013-10-17 23:49:00",22
"0013-10-17 23:54:00",24.4
"0013-10-17 23:59:00",8
"0013-10-18 00:04:00",81.4
"0013-10-18 00:09:00",85.4
"0013-10-18 00:14:00",45.6
"0013-10-18 00:19:00",8.8
"0013-10-18 00:24:00",15.6
"0013-10-18 00:29:00",11.6
"0013-10-18 00:34:00",16
"0013-10-18 00:39:00",22.4
"0013-10-18 00:44:00",22
"0013-10-18 00:49:00",11.2
"0013-10-18 00:54:00",13.2
"0013-10-18 00:59:00",16.4
"0013-10-18 01:04:00",34.8
"0013-10-18 01:09:00",24.4
"0013-10-18 01:14:00",16.4
"0013-10-18 01:19:00",17.2
"0013-10-18 01:24:00",19.2
"0013-10-18 01:29:00",91.2
"0013-10-18 01:34:00",2.8
"0013-10-18 01:39:00",2.4
"0013-10-18 01:44:00",7.6
"0013-10-18 01:49:00",2.4
"0013-10-18 01:54:00",0.4
"0013-10-18 01:59:00",2
"0013-10-18 02:04:00",4.4
"0013-10-18 02:09:00",6
"0013-10-18 02:14:00",0.8
"0013-10-18 02:19:00",24.4
"0013-10-18 02:24:00",2.8
"0013-10-18 02:29:00",7.2
"0013-10-18 02:34:00",0.8
"0013-10-18 02:39:00",1.2
"0013-10-18 02:44:00",2.8
"0013-10-18 02:49:00",2
"0013-10-18 02:54:00",25.2
"0013-10-18 02:59:00",33.2
"0013-10-18 03:04:00",26.8
"0013-10-18 03:09:00",3.6
"0013-10-18 03:14:00",29.2
"0013-10-18 03:19:00",19.6
"0013-10-18 03:24:00",1.6
"0013-10-18 03:29:00",0
"0013-10-18 03:34:00",2
"0013-10-18 03:39:00",1.6
"0013-10-18 03:44:00",16.4
"0013-10-18 03:49:00",30.4
"0013-10-18 03:54:00",42.6
"0013-10-18 03:59:00",47.4
"0013-10-18 04:04:00",42.4
"0013-10-18 04:09:00",26.8
"0013-10-18 04:14:00",1.2
"0013-10-18 04:19:00",6.4
"0013-10-18 04:24:00",1.2
"0013-10-18 04:29:00",21.2
"0013-10-18 04:34:00",22.8
"0013-10-18 04:39:00",2
"0013-10-18 04:44:00",0.4
"0013-10-18 04:49:00",1.6
"0013-10-18 04:54:00",1.6
"0013-10-18 04:59:00",1.2
"0013-10-18 05:04:00",1.2
"0013-10-18 05:09:00",1.2
"0013-10-18 05:14:00",1.6
"0013-10-18 05:19:00",2.4
"0013-10-18 05:24:00",1.6
"0013-10-18 05:29:00",1.2
"0013-10-18 05:34:00",0
"0013-10-18 05:39:00",3.2
"0013-10-18 05:44:00",1.6
"0013-10-18 05:49:00",0.4
"0013-10-18 05:54:00",37.6
"0013-10-18 05:59:00",34.8
"0013-10-18 06:04:00",33.2
"0013-10-18 06:09:00",35.2
"0013-10-18 06:14:00",46.2
"0013-10-18 06:19:00",41
"0013-10-18 06:24:00",41.4
"0013-10-18 06:29:00",21.2
"0013-10-18 06:34:00",24
"0013-10-18 06:39:00",32.8
"0013-10-18 06:44:00",45.2
"0013-10-18 06:49:00",34
"0013-10-18 06:54:00",37.6
"0013-10-18 06:59:00",38
"0013-10-18 07:04:00",0.8
"0013-10-18 07:09:00",1.6
"0013-10-18 07:14:00",2.8
"0013-10-18 07:19:00",2
"0013-10-18 07:24:00",0.4
"0013-10-18 07:29:00",0.4
"0013-10-18 07:34:00",0.4
"0013-10-18 07:39:00",13.6
"0013-10-18 07:44:00",9.2
"0013-10-18 07:49:00",21.6
"0013-10-18 07:54:00",27.6
"0013-10-18 07:59:00",13.6
"0013-10-18 08:04:00",20.8
"0013-10-18 08:09:00",23.6
"0013-10-18 08:14:00",16
"0013-10-18 08:19:00",17.6
"0013-10-18 08:24:00",26.4
"0013-10-18 08:29:00",24.8
"0013-10-18 08:34:00",14.4
"0013-10-18 08:39:00",4.4
"0013-10-18 08:44:00",7.8
"0013-10-18 08:49:00",1.6
"0013-10-18 08:54:00",16.4
"0013-10-18 08:59:00",3.2
"0013-10-18 09:04:00",4.8
"0013-10-18 09:09:00",10
"0013-10-18 09:14:00",1.2
"0013-10-18 09:19:00",1.6
"0013-10-18 09:24:00",8
"0013-10-18 09:29:00",23.2
"0013-10-18 09:34:00",110.2
"0013-10-18 09:39:00",126.4
"0013-10-18 09:44:00",121.6
"0013-10-18 09:49:00",105.6
"0013-10-18 09:54:00",90
"0013-10-18 09:59:00",26
"0013-10-18 10:04:00",45.2
"0013-10-18 10:09:00",46
"0013-10-18 10:14:00",38.8
"0013-10-18 10:19:00",36.8
"0013-10-18 10:24:00",15.2
"0013-10-18 10:29:00",34.8
"0013-10-18 10:34:00",69.2
"0013-10-18 10:39:00",92.6
"0013-10-18 10:44:00",144.2
"0013-10-18 10:49:00",104.2
"0013-10-18 10:54:00",142.8
"0013-10-18 10:59:00",156.4
"0013-10-18 11:04:00",118.8
"0013-10-18 11:09:00",140
"0013-10-18 11:14:00",144.6
"0013-10-18 11:19:00",124.4
"0013-10-18 11:24:00",149.4
"0013-10-18 11:29:00",149.6
"0013-10-18 11:34:00",153.2
"0013-10-18 11:39:00",97.2
"0013-10-18 11:44:00",96.8
"0013-10-18 11:49:00",149.2
"0013-10-18 11:54:00",155.6
"0013-10-18 11:59:00",123
"0013-10-18 12:04:00",135.6
"0013-10-18 12:09:00",133.4
"0013-10-18 12:14:00",145.2
"0013-10-18 12:19:00",127.4
"0013-10-18 12:24:00",90.2
"0013-10-18 12:29:00",145
"0013-10-18 12:34:00",140.2
"0013-10-18 12:39:00",106.2
"0013-10-18 12:44:00",152.4
"0013-10-18 12:49:00",70.6
"0013-10-18 12:54:00",131.2
"0013-10-18 12:59:00",102.4
"0013-10-18 13:04:00",85.2
"0013-10-18 13:09:00",119
"0013-10-18 13:14:00",115.6
"0013-10-18 13:19:00",117.4
"0013-10-18 13:24:00",148
"0013-10-18 13:29:00",164
"0013-10-18 13:34:00",146.2
"0013-10-18 13:39:00",130.8
"0013-10-18 13:44:00",119.8
"0013-10-18 13:49:00",96.2
"0013-10-18 13:54:00",91.6
"0013-10-18 13:59:00",118.8
"0013-10-18 14:04:00",142.2
"0013-10-18 14:09:00",164.6
"0013-10-18 14:14:00",155.2
"0013-10-18 14:19:00",124
"0013-10-18 14:24:00",127.2
"0013-10-18 14:29:00",155.8
"0013-10-18 14:34:00",163.2
"0013-10-18 14:39:00",90.8
"0013-10-18 14:44:00",80.6
"0013-10-18 14:49:00",63.6
"0013-10-18 14:54:00",32.8
"0013-10-18 14:59:00",76.8
"0013-10-18 15:04:00",21.2
"0013-10-18 15:09:00",41.6
"0013-10-18 15:14:00",39.6
"0013-10-18 15:19:00",50.4
"0013-10-18 15:24:00",71.6
"0013-10-18 15:29:00",151.2
"0013-10-18 15:34:00",133.8
"0013-10-18 15:39:00",109.2
"0013-10-18 15:44:00",123.2
"0013-10-18 15:49:00",176.6
"0013-10-18 15:54:00",146.6
"0013-10-18 15:59:00",130
"0013-10-18 16:04:00",118.2
"0013-10-18 16:09:00",150.8
"0013-10-18 16:14:00",128.8
"0013-10-18 16:19:00",153.8
"0013-10-18 16:24:00",136
"0013-10-18 16:29:00",127.4
"0013-10-18 16:34:00",148.6
"0013-10-18 16:39:00",158.2
